title,subject,length,journal_ID
jFrsvxSDbFANRpxnneWnHLfFYappqEbmivSvhUUSLAwQjpKoBm,stat,5776,16
lxyENxYQsNgakUzSEukGOuuvWCqrqrjJLcTfYAoANJkhdHCPge,cs,6901,3
mIRbfbgFUldyaXlFikaAhyToORDmowkQrtSjVwKHnZthylKagk,cs,2235,38
iRvmiLZKflkHhsCfgclaABMNBFvVUZOWNhwxKRNFUVKOPCHGHP,geom,5655,26
ZApGaTKgOvxffeBYwTivOsaDSRgpKwhKYxYCOPGnOboFiRccLX,engl,2051,2
GuHBGGWcxmFsJKLbkOxrTUJDEdpQGAGxDlhJZwYwPpJGFeOyzt,engl,4045,14
iXFIUYHHLNTXIQWnRnVASvWaiFSrdTcpnfJbJdISfTSzNPFKNf,chem,1132,27
LavIfPEbiVvhvXEXDfSuerhqUkQMnvRQixtfFGuCQQEbypRadk,geom,4381,7
qgNlfwoBDSLRVPUSjGMKGxyBtlubBKHIFhzeARsWExrVIRnjau,geom,3249,4
bfHmMDuPfqLPIVbcYRnUZIFrsbwcsGhZmFWdlBdCCSzjUmkLSB,phys,2504,28
gaChMhVxiptsULLDGKFOmPUtLvueIHvbGazECbKelUaOnUIAQF,phys,5137,44
sTgEsBeMpTbCqJtmSuepwSpFCQmbEVdrINVbvKRvruEMtFFlTY,biol,7732,43
lOgAvHcOJqfpYbyapWRAoFfJyeeIvlzCFchPmZisVVkzCjqRWn,cs,7070,6
DvklsZPBcdqENSYEZCQPSeZaFQkquxBPXkWcMsubdJaoxTueAy,phys,5237,34
pKftsjCCseldXETCIVlxXrEiGJkvCGtGmlGQVPZZNxvXLsduhq,geom,3786,6
SdHPnOwwXPTyvAERxqxkGqYHnsvgtFgNwqxtshzvmxynlsfsQt,biol,3235,21
YXNeBzmAcOhkpsNgclNdjpLiqtFgLaDOKnyhJzsYCLkLJOErDl,math,7207,4
gCVOJZeLuGaJtVSIoSBFqiybQmiTqsOnmWCUnXZXVZxLceBRCp,phys,3056,9
NQafFLivNReBiJqUNhaCiPdcXaZYXtHrKxPMBtcCFFIcaPYlXI,math,7436,29
JZLuEVvrmIDSWvWSvMWHVMHCGKlxhErQSKqJwvtROEdaIwmMaJ,phys,2314,32
PKJIxaJhgohyHEilmIlQDlzjGWirjCIkjTssGqomhElZBqlsoV,biol,5985,15
ELbUrcHJZoVcEaoBhrhtimDiiTemogvQmZOGIEmhrpnjjyUIql,chem,5620,17
kPrTYkXThNwYHWMqQJiBdGSelgncLDsBvinuekmsbUgjSuXnng,geom,7604,14
JwWpMndAbaKVhmwvqFTEvnvNynzaMaWJicmaUeKMDHAWbaWUWM,biol,4154,2
wSbDhgjsLDIgARqpXDLEJHxBhRGoWTqYhrXswIllQgWbQeHJgs,math,5831,27
ILDmbgvqcQISRRYfxoYMztalJGUPtKGQVcPUeZSvSdlBndDuPo,geom,5993,24
uWQOHLbLpIsQLASYlvQfQBbGQwsuCKGjRPpPKnRbHXgGLEleeQ,cs,6828,3
ZYoCMtvnBamPMtuRBVUuKumDaxlgeywbpldERQbHcAJTyaNUhS,chem,5679,42
lZODcdHtDjXLAqLEQKrAyWSHxZwxbuXzPRLMsBznldemEtkkhx,biol,1627,46
xbytwXXxFBBJFCbuPnDqTMSljLvrLXIzGDOGPlaGxGpNcIpHrq,phys,6262,26
XAHCnImQbPOyKmPHiLsuHEHqtwRLEtHSHcPQWRTXtNNYIRrfUx,geom,2082,3
tgwAPjzbeMMvPXPtmbmrswpKCnajotYWBosotQogJTVxFQqoxn,engl,4269,27
pXdQqHkrjoxOvCtRAkQNcoFWIphcVNPpBLGfUWFpcGAoCdDzSW,geom,6546,22
OYihIFIyRJgdRbZixBFsUWCevOEDSMLcdChMoaxPCQqWGqElbF,stat,4642,3
qeWEGAyiwcjMuyJjtiJpJWlNaSCxlRozToYiKOZBFfMCfOrtNF,engl,5600,2
jcLmYiAPLYEzQNLJEWDGDWGHIPallByXofQMKnliGFsQDTuPGt,phys,1792,31
akPlhkREvcGjqvrPjkjnQdYOqCiYBXIEYuWgjTiccCAeHZZyZC,phys,4168,33
TuGkODMmXZPBnQPwhKgKcJBoXpxQRvvcIkEjXbZIojATtRxMbJ,stat,4866,29
QsWNckjJJOhHAIdVITqmJRDKxSijYmXwRHokFAUvpLvPXVydqj,cs,6785,39
jaqcTsMSgLZChDGKYbQIVrOsHqBRhETKNzOTAaVkVVospBSrtE,phys,1371,29
lHtbYksVboHnTEQsVFlxriNBOgVyjJhRqaByrclasnPIJyizBj,biol,4791,43
MxbCcEHFCJMslrVYRZoJoseUPrRMqkykudbwkSmKKfZRCYFfUr,chem,7685,3
xUiVHZYfoGjLTqDqKAEFowgFHijqppmwCIcdDdxUCFLLZQaeWR,phys,1013,5
DxhgzqjJDuRcQXzQMDYbmSnJhUXLUhHkmQTrJtISNlcDGJaTcL,phys,3921,28
wLABjqBZVGXReUlvrVAScnKTMOlrMlVoKkxMFceZKOCEoDZLdC,biol,2703,16
xQdDlSkPPLfNvAWZYFOJeQASHOgGGyqllQcktzKnVigAoPJCoj,phys,4079,1
AXnppjRLLyanUArQUUIFrUFeftqzRSBLqWSeibCuaFFkzCaGvm,phys,6166,41
ghPgveaIKkraqAFLYmajmogwxFMTNEorenPCwhpPgPHsCHTJDY,cs,3758,7
OpihtluKJbgoYobFOCRlImtXSaCNOfyJukICVzLBqrtdGEajzj,chem,7067,0
YQACQgiRNgEPWmcOMhPcmWoddaIctqEwQIUKKcKDcdAcTqjVLl,phys,7265,23
kgvgZaKHhTgXSokThBoPXOrgEwQifAFCmjwrYhdwVYYvPGVnxt,biol,6061,42
vzDCsiSpZNbErVzrtdKfZNnAYBknolUbZlByyzAJuZZcYYVBBm,stat,4819,37
tJNjBMuEreUaomQZTAhqpVzJKhmOIpISexrURkHbRMAJxILXIU,engl,2776,46
CPZjAsbzqMbJmxaZrQRxmFckXQBBzuGxYRVLYjSOzstTctEKYP,geom,1045,34
coQewlSiTHCSMZHJhFwtQoMsYNqnHfOXTxHfjmiQSnEprKOvjy,cs,4121,40
vTCGiySgoqelgrLgGTSHpSwSeiHARcFirODoSOIVxwsjRufpWe,stat,7787,37
RTtpYdQmDPTIAWpolFJAOlPYPEwzPagIoLEdhvCfPQuwtzBDRn,stat,7964,10
WKGWdxaPkqcjuoLDUtxiLJoHdvNYhkvzAkSKIgfksCFiiJBZBN,geom,6082,30
YNszUEOVOtRLAgyjxGieXRJFGOpzbIspVrSFxRsphHuZbYHWZj,chem,4857,4
yYGrlvqQJqRyJcYImUKINdweUcWhqmlELjwpXmAtYYrwlYQVeV,engl,6812,32
iJeYxKFghaRJTAuGTdcXmGiNZHXsijZaRTGdsOGbYCCjLgVUzJ,stat,6968,46
dVODtarOSXprJHAdePrhUGPyhvlPgaRIpRJNpOYmPeouTNMcnE,stat,2939,5
NwWbQQJmqUMxSfxIFRkympJFZkgLAFcthiqPeBTiDYjoBGbtDQ,phys,5427,18
JSrVNjdTmZjfxWclAfgPmYTKrYvnGogGodLCqVrqHVAVPYtAFb,geom,3399,22
RKpnVMeFoPhfAdNJSKMVSaYhYsWXaEeKpfcMKCzMWREKwjivWx,geom,4742,30
KtxudREXOdMrNcXcTivNwGExjkfEsenJrvLvGNoRvKceWqbGPf,stat,2356,14
zUOuKYgebNqbofPFlkovPZNmfzQRlDUlYdISZRlOVofGBxZaoL,stat,6906,27
ITibPhLmUdSNSEQDuefPoVYKOnbrIVMOMiXvGToJzJvhDMBvFD,phys,3951,49
OhAIPuHOeEuhDbfxZfOByGelGTrEWmCXHIcIQjKoSrJgynlkgd,stat,5707,12
EkZDKnXhCjGeGnMxxWQnIGqpylCbAeRsMrOelMpVLYPBfSobql,geom,2456,45
pNOLqoNTOilaDgKsMqPgQchWxgBmeARYsZUlfikVMwsiiMGQAJ,chem,4590,36
TGvwmXHKVSQMJbqYTmlVZOQziFYakhsSwWaODDbTgHrzyYxnoD,chem,2229,11
YoigbvlofpZmXMiUwdHHBAgviSlfZzJplUbCKTGFSDfZmyYTyN,cs,5661,30
dVzNDlfDIgoMgNUYtLfzWsoWKLvJriShZiwfGPGWRDvEvnxJqN,stat,2788,3
HAVXWaMKVYDwVCPlArdTjQwrCTGuPfgIDEcLeCLVNAWEIqQmOt,engl,5624,37
zonoeJdrCJzxfmaPNgwlQAxvttovANoFBFkteFXveVPgDjbKAr,biol,7428,42
aMdxMrVgtbBSxenJoaXqmxGgdEKNvbbxoEJJxWDvyACprlCOPQ,stat,1992,39
nUlFBNfipjjPZvhcIOrqbRscAFzhOyUnGWuplXrPurwzJzNyto,phys,6421,39
txDDeCEkGbZIVibPEtbxZjNEFBCBxJllvTtyreYvgOrmAZsfXB,geom,3336,45
TJRtuXrNokNiAmaWokXOqnoKwBWxnAFgVFSpjqCmBbvAOlGFEb,math,7369,27
FKHmbEHnFGNabajZsesvHgFqnbsHrruMIjiwSZbrJuLMDmNRQO,geom,2419,16
mTozVWxAgvbqtuhUpIICFJlUzAfagZGiczvtQKTFqATAjqxnEj,math,5787,34
mZGqpPNylnwUvnqaBRWxtwbODoSiSwyylxUMeDFfQycwnObXkU,geom,3823,23
pxjnpHwKLqMcIfpdvMgcspBMbQAtpMseKJjcqktfrBZYMoCsKF,phys,2002,37
IXkRmNbBphKeVIiLVMCBSHhwTuiHuQcEZGDzxhFIaAqSfxFcdg,biol,7839,34
TshCOsfoFKscbKcUDJUqiwZqtODERrItbLZpMWIUNZQFrwWLQx,chem,7569,36
SCDlSBjCULDerSaGrEOlLcAYwCPvpWUxxEGCpixTeoTWIHvdlg,chem,2607,3
bzovvyQnRQIBzFNLmjokchShjEmMnnnBVDqjtSlLkbVAQuRHcB,biol,5253,40
bJWsMvUabAHuuTvRvQAJCMllRhegIKqAIikypbjCIyUrfZWVwc,cs,5764,33
qHppYqVKTmVyASrkYhjSPcyvOCixzsMNloHoaOwrqIPieKMpzt,phys,6887,47
CZTfjSRXrEFSmBbMVJglmssSrEhOzbbaMZoJExpzFBGctMojpS,phys,2759,20
UhUwJszbVPIgtSbpAyAWBJwWGbTZyezNjmqfxHGTlqgdwZvbjF,phys,1522,26
scCSOQIBUYnRjavnRLbhgMDEuOOXnvoTEGSBoZVSzhojmPYXmN,biol,5689,37
CRmdxsZBVkKggVGdQVwKgJOTLhmgSKwEfuwtgQNWpqTDfQYwRo,math,4533,17
azjGSsxuJRGaZEPjXxowoQlUgpcclRiNgxSNdETTgNfTDRdIAd,cs,5424,35
vHdKniPgRUooVawfxEyRLOAWFMkhNWvrnRlCvVriHhwXaPLFkX,engl,5889,24
ovxtXDDxzsyLvvYLDXYlpxqmCSanCNRWbcSfZbhhIONEgicqZF,math,7838,42
jlRChidTdtiSdaNTpYiqfvSMLamPbhpGaDAtoJlgcJGFDooiPt,engl,2512,39
tWcNlBjzrTjoqjAiDMjQzaursTJihDnqoHozqVxNmOhkkjJxdw,stat,3926,38
AVfkQMJNXwEjhRUDdKdVOIEDCBnAAjHUrcKeftDzgcKriGoZQw,biol,5667,11
tyvAdXPHchbCneMbkSNzWxpYSYQXqDHlIFkFvFWhUViJKhvaoh,cs,6867,16
TKJwzvXjOKqYNqnadfKeSpcHofPeiocCTfMwTEPSjjCNKjWyOG,biol,7822,1
atCvMBPETyFhzLXrTFugouMhjoXHDrIGXJbMoCPWPwBWTcPRsj,geom,5649,38
SLcJKYrjgvYXkAdeOlgVeQlIBqzuiQKMDRCryTZzYqrXJmFtPD,cs,5999,15
JKpNIXRgUgxNuqsgRNEjtZaIzhgtltjxyYPwTCxRMisTGxqNoQ,chem,7337,12
iTqLWTQEOfOPPPYRtbAdiQvVzrBQUteHPPwmzbnnohXZzqgKLO,math,5556,36
NIAJgxdXIiqBaZTeqoHxhPjPeAmZBwKXHnlEvwsgDnCvsvtjUn,cs,1359,36
NuFmxdkzRGbBzpRNtucDXVyEsGaVGRCZByrbBkqPQZEycAjypP,phys,2493,17
bQKWFJzeUOCXhZLgffOsTZOCLZGmLeSzDrzaHcQnnmMxAtjbZt,engl,3960,21
aIEOsFpOXWhPZMgJtzHKdlLNhWEgAorbbCBCsUKYoVtapowqqL,biol,1789,25
ADgeMcKUvTkQlMxUHelRFdBKduuPdkcExbnYpdCwJpSRtvMUtB,chem,1720,18
jBIikxxvatHFuLSPVYVaqRhnBwjlSWVKWbXedOLFtSDhWCqPxF,biol,7645,13
pdUJkpWqkUJqJLONzsCnWZCOfxoXpZkWaVSUqEiVTDvwtYtTMp,cs,3871,43
jSkoSqTHLXJncAvvJXZsOmDNHihVyrJlbKAxKBDNsTNIdYAWcI,geom,3699,6
jYiaaBwYNAvhpSgioMDrmyFzxGWTZXTwGUHaNwOFHqWRVKhaeK,geom,6964,10
lEEZMvrFxRdBcMgZiuCXGekePDoKRDZGPWlbOGQGlbZNsmcicm,cs,4134,22
WYCsfZNfGFHmIoDRzytfSASQNpAiTdTlpAHUPbKmrawlElyfhQ,cs,1575,12
OCkHwsFPlaoFujsmQGyvXzoobQznEERWrFOIBSYJPqQwNpyKmt,geom,3118,9
HhObYEmNbTmbwSokwvIrxjyGRAAxCFQcKSMrzCACbwBiKjbgrs,geom,2182,21
LCPGPVUBpDUtntoylzsvlKMVsdsUfmYbDQAuxZMgzuNEiVWxPK,chem,4624,33
KOlRtxdVLBRFzTjpollQdotJNEGeOHtFlSWPaeOkYaMbZAwnNU,chem,6951,22
hZQcUDXhggLFxoDpikbLgDdpQaYqCQOgYhgzTWmwlimYASdrcL,math,2337,20
NJJVBEImblJFjMQoCYRQBfLByhXuIRnCjwZdDGfQJZNDBfpUJC,math,4880,32
vepvXfGLBfHaXqHuOjYvgnTnBLbnTjCQPhjIGNATQmsIVdDVyU,phys,2422,5
ajDlAcwRZxqKTsXjqgpSjtdaIfxYJtDZAoEiYgRuEuzVWTeBfW,chem,1109,16
YPKmiyGomdPedecOJAxstCmkQZVdMVMkAfVFmzdfvLWJdnGiaw,chem,1677,47
nGoCfkDXVcFvAYxKaWSqQgKBDWvTUBJouoNtOMgItTBgbSlutm,geom,6135,48
zNEfbFwlDjZryqaFlKCZbwpyJQrtUQdCSfWKcPvKZxaCqUAsZA,stat,4658,1
uCrlcJNApoXQWueehxsIiEbxwhnpaDfwVGywBTaONjQShFRDuo,engl,3282,34
EyjGazscCtxKWqwfhpGBzxmvyjldeDpDESTKdGwypCDyVHJSLG,biol,5070,5
rKUPIgZEZLNfFpbpUODZrrlELSbjcURCBcAbKPywFMChNOWHIt,engl,4465,36
yrJTRWtNtkKLvZwkXDRqiQjohKvEzYUgAENVbzxsnKoBUffGun,geom,5046,5
baOkSqXBcxngvzeKZYEBLcmlsUWbaUkDKbDbRMEqnApNeOfHyD,chem,1404,44
zWYalaPgnHLuiTtmiErXrZWMxntcTuSZnzawAAuAcdmabhynKb,geom,4000,30
AVdSPkNMPRxLANJcCJUxZcdOMtcUqnPDJsOsmsOimdcnVMYCeF,biol,2914,1
uxIADnJNQlMkBXKooFWqkwmbvzjJahLmGlpTtwJsyWzdadTPbI,engl,5230,27
llOmqeAqIgUOfGnMpyElPRFouXvaZFwnEpInosHkzfAZHAetyp,geom,1417,42
xfsIvOUVUGSdFsGXMAmaOzDqVwTQysUPZDPNTWybcUrRyBtPcJ,stat,3419,47
XRuTdGHhBGMVmnruIUiWFOAZpFgIuzNflZikFwRDSFJlnpJcjH,phys,3749,5
MbHPsTnVLzvyAxqJvCcRqaedasnivIZaPHdOGEJjafalzpjZYo,cs,4310,23
aZRbQmsXETIZBprqMShphfQnDGKFboHfPzuuQYfxaBclFMLnAo,chem,3071,31
EswwoOiXnmJACpNFNmbxxJWVbgJwoUnbqAEoGXXrjCIdrhPqGD,geom,3492,47
kRJVEbApfjtsixDuiywhcSPGwlhgaLqVBUpsBcKIeEOIzwCRYr,chem,4944,42
ZJYflZgINWTUYEtooetfPNixDUrexILtVxByHwROdHQUGmhtvM,engl,4898,42
KBmpPFjhLYAlUevMIAmByhmBWRMbAxMjbTVqaDNTYCNKwAlONh,chem,2072,33
MyfkBNkahepSeoAJKQGaSXrwZhrhQEVVQMMdBZAJycyldauQSU,cs,6079,42
ACBnCsyTmihpsAQkblwtETSuTYPMtuqsgwSxjWIKgEPKbVwfIv,phys,3510,3
sHxvLnXCjejbYdJdDomsdoukOtsJVtnUZtOSScPaZuqdSoAHjj,stat,1311,20
LFWyZOsMcJUrBHpuXxadWyksVvMKKoFzJahDPGaIMEEVWrldKM,phys,1913,5
XyMjJuTLqEaUFQoTPWkXnTyIqoYDilJVDCqNvSDlVdMnQxBbAN,biol,7425,34
ddfaGJkdgnsWFOFMNnHYJWIQYNntKnDYebmaePXnrGIxviTHdA,engl,6757,31
SSPctWlbZJszdxigPmgwoeVXszFzxYPeOfgeddCYhjhDVBhXrc,stat,1328,17
gBXTPTCWIaRUyszTMWBqokFApcpqiDlkPzsRGiewaSpeLKEBZp,stat,4016,33
FjFrELHastArXRilkXgkjvPWfOVAjkvQktJaCJLZsxmohDKmMG,stat,5638,14
gdNzZJKVrspNlZVlMmgUyKjrdWhfmsOKeykMOwIESgEMvNsqFn,biol,6848,33
vCURIzZqrGlbHoqNixxLKnVoJBaKvIUPvovZrypeIxOggvkzMQ,engl,2980,45
aaClsAsUQADDrZVhpDCggtiUoOzzJIECVTrjfIRHIZwTyinOyg,cs,4623,8
aJOGoVTLHGdqAhVCqxTXCLHgHQUNNLkGvOazbhlZqGXftWSHzx,cs,4647,45
heEcRxaXYJTbCeJgERjsVRXbysyRIhzSHePdmUWowGQowWsNuk,math,5764,48
sEZJBCQKfTaEPGunNMEJLyZzRHTiTFqSFzYcncHPHEfNCudsJT,geom,7411,18
XhjSXjvdOuKUMgALRrKFYnozxvZaGqKUuauuqVajbuTuTclkKU,geom,4525,41
SnJrUcmBUismYshsgCIZVUyIvjLkxQrvdWNZCSkpnqoAgNayet,engl,5877,34
lybJHEYrAimIkwvvvIKiLASvsXOrgRMQiamnlXrXbkCyXlkpcH,phys,4564,7
KXruLpjDPBZBHDWIXqvSWJotZxFpXYrwYRbaMhMEBhzgHKxwWN,chem,6531,25
ETdvypnrNEIMvJZabbVWaaWXHlLNuMXOzimirfHlXqeVXMQfgu,geom,2835,33
fuoDSZkbtvhFOxFloFfVsfHcTDxagPrbdwvMNkKtLMJowoBXKX,phys,5167,35
aPUORXTbuYvhPNzhzDDwTGqBzxwcyiHKvfbyclSCLfQCcmeuhZ,engl,1575,15
zutdOjMBvFYjkZkASnipeEuKWyltQsSnQGkdWJxelEPldnoXye,chem,6716,3
voPbuTKonOsIGaeuIWFjBIGiWIUjnPvYkwDbzLtwdJwnRfoGMZ,chem,5280,32
tFuwOGdiXpMrveVUvUVrdZILgBlbDCBWrKMBIiEnFhOiUWnfbg,phys,5542,5
VyFytlFDcUzveKrNKxtGSxJUKDZcKprCkiHlcWobJaQlmuHrtg,engl,5956,48
NMIMcFsSjxCYsrqtvkvmWZoUsTEIyCDVpkoHtTykGfbErsnxwu,geom,7222,34
FCTMqJFJtqFaxnTuBmjXGykvflcqyZdTFHzHYLJkPDYgPcHdCR,cs,1924,22
mZVECkmHuXVFZRaauHQwOmExRgcDtwvpYncOXpHMHybeRgPBFO,chem,1454,40
npbSQaSzdpEzRifWqsgnvBNWSFhQkeAyqMgUwYZBWLZbykoULk,engl,1597,2
cICbdyvOYjCCBxTcTOyfXsUrQAyZeScMgtIJTHrfespDXnTzJd,stat,6416,35
sNbkIUzzoRIGAxeILpanmjjnEMXPhaxdQiWJcNqRJPfPmPFFUI,engl,5830,6
jUreICYZKzvIPNWYZRbCAnfvCnlgTCBHbURuxkrFUzlQNLLDuK,stat,6775,16
SyyAULOKsebsHvJeWetatqqixHCItlWxIyGeKYuUSmwxiAvDWX,engl,4981,0
YVECmCRHphrYFNdcGqlLInfvodGZsMolqYRrVVBssojiBclECG,cs,5333,25
WqzYdkampmIzoUqMiyFeYvyxMMMMPXufnCCZMbUZAwMcQKZLSJ,cs,1364,5
nxtBcPFOHEvkKSDgwlCCMJCxgiGVEgdJKbWbtZRnKhGMhOzaEX,phys,1203,36
SJsbXedBRSGBQjlTmEHKvzbliDMKdGVORBtIDHQBWbvbWxSnYU,geom,7176,24
tfOWCTrCZATQQLzswvlzvLSKzrQGNAuTwIsgEbFEicltnniecZ,math,5410,2
eVHVbtHOZsDVXooHIkDCMeBFuXHQacCPasxhnxOKhTaVGTanST,biol,4713,11
EjNwKgBRcgSgtAyAQeMZJwbIFvsjyOyFmedsRaIokpEDStlHRo,stat,5567,14
UCxRtsbZUftPVyrTpExOctdCkdlXgSJIcgMZGlRXFRVEgZnHbr,math,1998,37
dXXtNvppGoyigHgmNqFcZyVlflyZtYdgVipIUyYdEfycdicjgP,biol,5470,14
qXndvWWoHgRytLKajVMIuYVFxqfaUokSPPQjIOYFHUanAKklcP,math,4798,2
KVgxzbCuBOTsVYNEgNIFDGOUGtdLrPyuqUoWZYJlIXHMrADwgP,chem,2362,8
wbScOmNnvrTdNelcmrFGbrOqgXSOcKKONGUJGvsKzDGNprtmmd,engl,6414,25
SqkZNDiPwVYadyZsXusoqeXgsjIzbXHiTZnhIQNkmTaTbiijon,chem,1271,21
VdTZxhTWjVRQvAyENNkmgFjmHAjqChtKKZcwMaRebnNaCJliUd,biol,7885,7
ZFPhifalWblzjrJYsHlyOBjFehtaoGUHIrYmQjXtTcgpQwFHtd,biol,7061,3
HYInStZjiAmkLjbJxgHEsmBDNEIaOBiuRkIwLlUzQUwyLXodbC,cs,4948,41
BWZQnBYkOPVIRkvhRQouixLusBHppaprvtxgqcAtrqCCVHZowg,math,7184,32
SOEWidziSCXpJDrGfvhRLDvDoZBElrNRTGEZtwRKffMfWKcfSC,biol,2390,33
ihPNrcZXacbQupvjhQaUuppiZDkpYmtMOGRcQwpnqovvQlPcRY,biol,5250,39
CkWGIZHMhDSVtRdSWqGtUjgHbpVmAgYNsTnqTmoRHOUSQPzQLm,biol,5591,26
aRkZLwXGxiJRVprfOMKqvMHNALMyDBnMacKpiQJmsGcgkCVZGY,geom,7935,47
iWKEPWrdSyYQozHMEIqSnFdMLIoHPLJxGRsmFUDJYxpZiinWHZ,phys,3620,32
klntGHVKGJeuSaxdSzzGTkUVYVszrYsGEfEbzbNpzAHiQQIneb,chem,7486,2
WYAgFMayWestzzhyZkxOwivmqvYjybPwkCZaqmxtYzcGxmZIhY,phys,5718,23
uUclLJUSIaIlMgPRXghPBfXXNLosqdViuAXlqsHqHGsLLleDEH,chem,6921,18
VsqEFJqGAjLbalyBItvgkqOdZNIuTbmkUtaEUyNKRtUfRXFWyt,biol,3640,47
LbYQvcDXEnlvfHlxrMDXeBmrvjdUPpjqcCPMqwPiQJpIndjYzP,engl,5298,22
bRxgqCVtMkwWlbyIdZGGOKioiWRGygokcksPbClYVUICladwNl,chem,2202,47
veENTfpiEZICQIDSKpXsWHkytgfipMVgkdUGpPBagpadLfKHAp,phys,1269,5
XvzQrQmYIHFeBrPAgCbwzjXMKuxTyZajnAJDbOziujbvnREDlf,stat,6892,13
CmYuBlRxlWyFhVxFyIgqNEJHaGJjxvtorJmUCMcFjEsGMpltFy,cs,1836,20
zoiiYDZoGngaTMXrMmCqmwAXSNaksDshmAljtCVVlBlCmVivYx,cs,2522,9
TyqWKkNfBXbnpdUcCfAbATXZFmRHuVpQfHhZJSVGsLiJZmuXoM,biol,2264,32
EHuqhiowsROdQgZpYGhMINmYjvBKxCPbZlucNCpZuXQjKpVWAH,chem,4986,2
vUlqUsGwBiHVJmRVaALTidJQFNeqzEOiLwJeIKdJMtubNCWBMh,geom,7000,39
uzPcBSnyseVsvatmrrdrbKeFsRNmCWTjsZnRWbYWOaHIiXwkzN,stat,1346,12
FyGpuGlUkhqpEgsmxNdOrujznEkyzKZpOxdOkxckfAYjpVdLzC,phys,2240,48
DcDBTXaWlJvLtnvlnTAcRrKbRsxGjJczpiIRgNbRPwHvKWUNDt,stat,2771,40
BEdwaMDwVpkyTSxwrNSjVcYYiOWnQxmXwWVmcgznTGYYsNAgUW,biol,4227,41
